Unnamed: 0_x,pc11_s_id,pc11_d_id,pc11_sd_id,pc11_tv_id,tv_name,State Name,sd_name,d_name,Unnamed: 0_y,StateName,DistrictName,BlockName,VillageName,Contaminents,shrid2,elevation_mean,elevation_median,elevation_percentile_5,elevation_percentile_25,elevation_min,elevation_max,elevation_num_cells,elevation_std
617461,29,568,5521,608518,Diggenahalli,Karnataka,Bhadravati,Shimoga,68,KARNATAKA,SHIMOGA,BHADRAVATI,DIGGENAHALLI,"Iron : 0.500, Chloride : 450.000, Nitrate : 55.000, Hardness : 400.000, Residual Chlorine : 0.200",11-29-568-05521-608518,614.4780635400907,611.0,585.0,595.0,575.0,695.0,5288,23.34727408377068
617465,29,568,5521,608522,Anaveri,Karnataka,Bhadravati,Shimoga,2,KARNATAKA,SHIMOGA,BHADRAVATI,ANAVERI,"Fluoride : 1.000, Iron : 0.400, Chloride : 300.000, Nitrate : 55.000, Hardness : 300.000, Residual Chlorine : 0.500",11-29-568-05521-608522,577.3437846397467,572.0,563.0,567.0,557.0,715.0,6315,19.6965042396665
617465,29,568,5521,608522,Anaveri,Karnataka,Bhadravati,Shimoga,3,KARNATAKA,SHIMOGA,BHADRAVATI,ANAVERI,"Fluoride : 0.500, Iron : 0.500, Chloride : 450.000, Nitrate : 60.000, Hardness : 500.000",11-29-568-05521-608522,577.3437846397467,572.0,563.0,567.0,557.0,715.0,6315,19.6965042396665
617466,29,568,5521,608523,Ittigehalli,Karnataka,Bhadravati,Shimoga,4,KARNATAKA,SHIMOGA,BHADRAVATI,ITTIGEHALLY,"Fluoride : 0.500, Iron : 0.500, Chloride : 450.000, Nitrate : 65.000, TDS : 10.000, Hardness : 350.000",11-29-568-05521-608523,613.0790219702338,607.0,586.0,596.0,572.0,730.0,8466,23.49239799007564
617469,29,568,5521,608526,Gudumagatta,Karnataka,Bhadravati,Shimoga,42,KARNATAKA,SHIMOGA,BHADRAVATI,GUDAMANGATTA,"Fluoride : 1.000, Iron : 0.400, Chloride : 400.000, Nitrate : 65.000, Hardness : 350.000, Residual Chlorine : 0.300",11-29-568-05521-608526,600.6572285542892,597.0,584.0,592.0,572.0,695.0,8335,15.810673886833582
617474,29,568,5521,608531,Mydolalu,Karnataka,Bhadravati,Shimoga,57,KARNATAKA,SHIMOGA,BHADRAVATI,MAIDOLALU,"Fluoride : 1.000, Iron : 0.300, Chloride : 250.000, Nitrate : 55.000, Hardness : 350.000",11-29-568-05521-608531,594.3802273214669,592.0,579.0,588.0,573.0,641.0,4663,10.24043840873717
617475,29,568,5521,608532,Kallajjanalu,Karnataka,Bhadravati,Shimoga,56,KARNATAKA,SHIMOGA,BHADRAVATI,KALLAJJANAHALU,"Fluoride : 1.000, Iron : 0.600, Chloride : 400.000, Nitrate : 80.000, Hardness : 300.000",11-29-568-05521-608532,613.9168755221386,615.0,593.0,600.0,586.0,664.0,2394,15.056097528155185
617482,29,568,5521,608539,Holehonnuru,Karnataka,Bhadravati,Shimoga,44,KARNATAKA,SHIMOGA,BHADRAVATI,HOLEHONNURU,"Fluoride : 1.000, Iron : 0.500, Chloride : 400.000, Nitrate : 80.000, Hardness : 400.000",11-29-568-05521-608539,571.9123796880186,571.0,564.0,569.0,554.0,588.0,3013,5.15967630969766
617482,29,568,5521,608539,Holehonnuru,Karnataka,Bhadravati,Shimoga,45,KARNATAKA,SHIMOGA,BHADRAVATI,HOLEHONNURU,"Fluoride : 1.000, Iron : 0.400, Chloride : 400.000, Nitrate : 70.000, Hardness : 400.000",11-29-568-05521-608539,571.9123796880186,571.0,564.0,569.0,554.0,588.0,3013,5.15967630969766
617482,29,568,5521,608539,Holehonnuru,Karnataka,Bhadravati,Shimoga,46,KARNATAKA,SHIMOGA,BHADRAVATI,HOLEHONNURU,"Fluoride : 1.000, Iron : 0.300, Chloride : 300.000, Nitrate : 65.000, Hardness : 400.000",11-29-568-05521-608539,571.9123796880186,571.0,564.0,569.0,554.0,588.0,3013,5.15967630969766
617482,29,568,5521,608539,Holehonnuru,Karnataka,Bhadravati,Shimoga,47,KARNATAKA,SHIMOGA,BHADRAVATI,HOLEHONNURU,"Fluoride : 1.000, Iron : 0.400, Chloride : 350.000, Nitrate : 70.000, Hardness : 450.000",11-29-568-05521-608539,571.9123796880186,571.0,564.0,569.0,554.0,588.0,3013,5.15967630969766
617486,29,568,5521,608543,Arahatholalu,Karnataka,Bhadravati,Shimoga,7,KARNATAKA,SHIMOGA,BHADRAVATI,ARAHATHOLALU,"Iron : 0.400, Chloride : 250.000, Nitrate : 75.000",11-29-568-05521-608543,596.2544217687075,596.0,585.0,591.0,576.0,619.0,7350,7.330564393381488
