,StateName,DistrictName,BlockName,VillageName,Contaminents
0,KARNATAKA,SHIMOGA,BHADRAVATI,AGARADAHALLI,"Fluoride : 1.000, Iron : 0.400, Chloride : 250.000, Nitrate : 55.000, Hardness : 300.000, Residual Chlorine : 0.200"
1,KARNATAKA,SHIMOGA,BHADRAVATI,AGARADAHALLI,"Fluoride : 1.000, Iron : 0.300, Chloride : 400.000, Nitrate : 65.000, Hardness : 300.000, Residual Chlorine : 0.300"
2,KARNATAKA,SHIMOGA,BHADRAVATI,ANAVERI,"Fluoride : 1.000, Iron : 0.400, Chloride : 300.000, Nitrate : 55.000, Hardness : 300.000, Residual Chlorine : 0.500"
3,KARNATAKA,SHIMOGA,BHADRAVATI,ANAVERI,"Fluoride : 0.500, Iron : 0.500, Chloride : 450.000, Nitrate : 60.000, Hardness : 500.000"
4,KARNATAKA,SHIMOGA,BHADRAVATI,ITTIGEHALLY,"Fluoride : 0.500, Iron : 0.500, Chloride : 450.000, Nitrate : 65.000, TDS : 10.000, Hardness : 350.000"
5,KARNATAKA,SHIMOGA,BHADRAVATI,ANTHARAGANGE,"Fluoride : 0.090, Iron : 0.500, Chloride : 400.000, Nitrate : 55.000, Hardness : 400.000"
6,KARNATAKA,SHIMOGA,BHADRAVATI,ARABILACHI,"Fluoride : 0.500, Chloride : 350.000, Nitrate : 65.000, Hardness : 400.000"
7,KARNATAKA,SHIMOGA,BHADRAVATI,ARAHATHOLALU,"Iron : 0.400, Chloride : 250.000, Nitrate : 75.000"
8,KARNATAKA,SHIMOGA,BHADRAVATI,ARAHATHOLALU,"Fluoride : 1.100, Chloride : 350.000, Nitrate : 65.000"
9,KARNATAKA,SHIMOGA,BHADRAVATI,ARAKERE,"Fluoride : 1.000, Iron : 0.400, Chloride : 300.000, Nitrate : 65.000, Hardness : 300.000, Residual Chlorine : 0.200"
10,KARNATAKA,SHIMOGA,BHADRAVATI,ARAKERE,"Fluoride : 1.000, Iron : 0.300, Chloride : 400.000, Nitrate : 45.000, Hardness : 350.000, Residual Chlorine : 0.200"
